Vocabulary;Lesson;Pronunciation;EnglishDef;PersianDef;Examples
Resist;9;[re·sist || rɪ'zɪst];"act against; strive against; oppose";عمل کردن برخلاف ، مخالفت کردن با ، مقاومت کردن;"a. Totie could not resist eating the chocolate sundae.

b. Tight security measures resisted Jimmy's entrance into the bank.

c. Harold resisted the opportunity to poke fun at the weird man."
Lack;9;[læk];"be entirely without something; have not enough";کاملاً فاقد چیزی بودن ، به اندازه کافی نداشتن;"a. Your daily diet should not lack fruits and vegetables.

b. His problem was that he lacked a variety of talents.

c. As an amateur dancer, Vincent knew that he lacked the professional touch."
Ignore;9;[ig·nore || ɪg'nɔr /ɪg'nɔː];"pay no attention to; disregard";توجه نکردن به ، نادیده گرفتن;"a. Little Alice realized that if she didn't behave, her parents would ignore her.

b. The student could not answer the question because he ignored the obvious facts.

c. Older brothers and sisters often feel ignored when their parents only spend time with a new baby."
Challenge;9;[chal·lenge || 'tʃælɪndʒ];call to a fight;به مبارزه طلبیدن;"a. Aaron Burr challenged Alexander Hamilton to a duel.

b. No one bothered to challenge the prominent lawyer.

c. Trying to become a doctor was quite a challenge, Dick discovered."
Miniature;9;[min·i·a·ture || 'mɪnətʃʊr /-tʃə];represented on a small scale;در مقیاسی کوچک نشان داده می شود ، کوچک;"a. The young boy wanted a miniature sports car for his birthday.

b. Instead of buying a massive dog, Teddy got a miniature poodle.

c. We were seeking a miniature model of the bulky chess set."
Source;9;[sɔrs /sɔːs];place from which something comes or is obtained;مکانی که از آن چیزی نشات می گیرد ، منشا ، مبدا  ، سرچشمه ;"a. The college student knew that he needed more than a basic textbook as a source for his report.

b. The source of Buddy's trouble was boredom.

c. Professor Smith's speech was a valid source of information on chemistry"
Excel;10;[ex·cel || ɪk'sel];"be better than; do better than";برتری داشتن ، بهتر بودن;"a. Because he was so small, Larry could not excel in sports.

b. At least Hannah had the security of knowing that she excelled in swimming.

c. Clarence Darrow wanted to become a prominent lawyer, but he felt that he must first excel in history."
Feminine;10;[fem·i·nine || 'femɪnɪn];of women or girls;زنانه ، مونث;"a. When my sister wants to look feminine, she changes from dungarees into a dress.

b. Some men cannot resist staring when they see a woman who is especially feminine.

c. My brother is ashamed to cry at a sad movie because people might think he is behaving in a feminine manner."
Mount;10;[maʊnt];get up on;سوار شدن ، بالا رفتن از ;"a. Congressman Gingrich mounted the platform to make his speech.

b. The watchman mounted the tower to see if there were any people in the vicinity.

c. My sister couldn't mount the horse so they gave her a pony instead."
Compete;10;[com·pete || kəm'piːt];"try hard to get something wanted by others; be a rival";تلاش سخت برای دست آوردن چیزی که دیگران هم خواهان آن هستند ، رقابت کردن;"a. Steffi Graf was challenged to compete for the tennis title.

b. The runner was reluctant to compete in front of his parents for the first time.

c. When the amateur became a pro, he had to compete against better men."
Dread;10;[dred];"look forward to with fear; fear greatly; causing great fear";با ترس چشم انتظار چیزی بودن ، خیلی ترسیدن ، خیلی ترساندن;"a. The poor student dreaded going to school each morning.

b. He had a dread feeling about the challenge he was about to face.

c. I dread going into that deserted house."
Masculine;10;[mas·cu·line || 'mæskjʊlɪn];"of man; male";مردانه ، مذکر;"a. The boy became more masculine as he got older.

b. It is undeniable that his beard makes him look masculine.

c. The girls liked Jerry because of his masculine ways."
Menace;10;[men·ace || 'menɪs];threat;تهدید;"a. Irv's lack of respect made him a menace to his parents.

b. The torrents of rain were a menace to the farmer's crops.

c. Sergeant Foy's raw language was an obvious menace to the reputation of the entire police department."
Tendency;10;[tend·en·cy || 'tendənsɪ];"leaning; movement in a certain direction";گرایش ، حرکت به سوی خاص ، تمایل;"a. My algebra teacher has a tendency to forget the students' names.

b. His tendency was to work hard in the morning and then to take it easy in the afternoon.

c. The tendency in all human beings is to try to survive."
Underestimate;10;[,un·der'es·ti·mate || ‚ʌndə(r)'estɪmeɪt];set too low a value, amount, or rate;دست کم گرفتن;"a. I admit that I underestimated the power in the bulky fighter's frame.

b. Undoubtedly the boss underestimated his employee's ability to work hard.

c. The value of our house was underestimated by at least two thousand dollars."
Victorious;10;[vic·to·ri·ous || vɪk'tɔːrɪəs];"having won a victory; conquering";پیروز ، فاتح;"a. Playing in New Jersey, the Giants were victorious two years in a row.

b. Terry faced the challenge with the bad attitude that he could not be victorious.

c. Our girls' volleyball squad was victorious over a taller team."
Numerous;10;[nu·mer·ous || 'nuːmərəs /'nju-];"very many; several";بسیار زیاد ، متعدد;"a. Critics review numerous movies every week.

b. Dr. Fischer had resisted accepting money from the poor woman on numerous house calls.

a. Critics review numerous movies every week.

b. Dr. Fischer had resisted accepting money from the poor woman on numerous house calls.

c. The debator used numerous documents to back up his statements."
Flexible;10;[flex·i·ble || 'fleksəbl];"easily bent; willing to yield";تاشو ، انعطاف پذیر;"a. The toy was flexible, and the baby could bend it easily.

b. Remaining flexible, Nick listened to arguments from both sides.

c. A mouse's flexible body allows it to squeeze through narrow openings."
Evidence;11;[ev·i·dence || 'evɪdəns];that which makes clear the truth or falsehood of something;آنچه درستی یا کذب چیزی را آشکار می سازد ، شواهد ، مدارک;"a. Each juror felt he needed more evidence before voting to convict the former football star.

b. Her many awards were evidence enough that Leona excelled in typing.

c. Our teacher ignored the evidence that Simon had cheated on the test."
Solitary;11;[sol·i·tar·y || 'sɑlɪtərɪ /'sɒlɪtrɪ];"alone; single; only";تنها ، مجرد ، انفرادی;"a. Sid's solitary manner kept him from making new friendships.

b. There was not a solitary piece of evidence that Manuel had eaten the cheesecake.

c. The convict went into a rage when he was placed in a solitary cell."
Vision;11;[vi·sion || 'vɪʒn];"power of seeing; sense of sight";قدرت دید ، حس بینایی;"a. With the aid of the binoculars, my vision improved enough to see the entire vicinity

b. Ted Williams had perfect vision, and that helped to make him a great baseball player.

c. The glasses that lrma bought corrected her near-sighted vision."
Frequent;11;[fre·quent || 'frɪːkwənt];"happening often; occurring repeatedly";اغلب اتفاق می افتد ، مرتب رخ می دهد ، مکرر;"a. We made frequent visits to the hospital to see our grandfather.

b. On frequent occasions Sam fell asleep in class.

c. Dr. Bonner gave me some pills for my frequent headaches."
Glimpse;11;[glɪmps];a short, quick view;نگاه کوتاه و سریع;"a. This morning we caught our first glimpse of the beautiful shoreline.

b. One glimpse of the very feminine vision was enough to tell Romeo that he loved Juliet.

c. The tall shrubs kept us from getting a glimpse of the new people who inhabited the beach house."
Recent;11;[re·cent || 'rɪːsnt];done, made, or occurring not long ago;اخیر ، تازه;"a. At a recent meeting, the Board of Education provided the evidence we had been asking for.

b. Bessie liked the old silent movies better than the more recent ones.

c. Recent studies have concluded that more people are working than ever before."
Decade;11;[dec·ade || 'dekeɪd];ten years;ده سال ، دهه;"a. After a decade of granting salary increases, my boss ended the practice.

b. Many people moved out of this city in the last decade.

c. I have a vision that this decade will be better than the last one."
Hesitate;11;['hes·i·tate || 'hezɪteɪt];"fail to act quickly; be undecided";سریع عمل نکردن ، مردد بودن ، تعلل کردن;"a. Nora hesitated to accept the challenge.

b. When he got to the robbers' vicinity, he hesitated before going on.

c. The proverb tells us that he who hesitates is lost."
Absurd;11;[ab·surd || əb'sɜːd];"plainly not true or sensible; foolish";به وضوح درست یا عاقلانه نیست ، احمقانه ، مسخره;"a. It was absurd to believe the fisherman's tall tale.

b. The flabby boy realized that the suggestion to diet was not absurd.

c. Underestimating the importance of reading is absurd."
